date,price
Aug 2016,15256
Sep 2016,15920
Oct 2016,15930
Nov 2016,15982
Dec 2016,16161
Jan 2017,16186
Feb 2017,16082
Mar 2017,15841
Apr 2017,15773
May 2017,15563
Jun 2017,15776
Jul 2017,15735
Aug 2017,15735
Sep 2017,15910
Oct 2017,15817
Nov 2017,15934
Dec 2017,16063
Jan 2018,16437
Feb 2018,16442
Mar 2018,16527
Apr 2018,16432
May 2018,16622
Jun 2018,17061
Jul 2018,17441
Aug 2018,17595
Sep 2018,17681
Oct 2018,18147
Nov 2018,18638
Dec 2018,18900
Jan 2019,18952
Feb 2019,19362
Mar 2019,20079
Apr 2019,20602
May 2019,21348
Jun 2019,21327
Jul 2019,21663
Aug 2019,22062
Sep 2019,22441
Oct 2019,22522
Nov 2019,22253
Dec 2019,22038
Jan 2020,22321
Feb 2020,22558
Mar 2020,22198
Apr 2020,21787
May 2020,21717
Jun 2020,21809
Jul 2020,22049
Aug 2020,22069
Sep 2020,22490
Oct 2020,22839
Nov 2020,23109
Dec 2020,23630
Jan 2021,23749
Feb 2021,24778
Mar 2021,26362
Apr 2021,29401
May 2021,30692
Jun 2021,30638
Jul 2021,31246
Aug 2021,31425
Sep 2021,31509
Oct 2021,32276
Nov 2021,33141
Dec 2021,33880
Jan 2022,37115
Feb 2022,44168
Mar 2022,48570
Apr 2022,47455
May 2022,44913
Jun 2022,44069
Jul 2022,38190
Aug 2022,36722
Sep 2022,36019
Oct 2022,36565
Nov 2022,35188
Dec 2022,31947
Jan 2023,31796
Feb 2023,31442
Mar 2023,31723
